search,title,list_price,unit_price,unit,on_sale,discount,store
kiausiniai,"Putpelių kiaušiniai WELL DONE, 18 vnt., 18 vnt.",2.35,0.13,vnt.,False,0,Barbora
kiausiniai,"Kaimiški kiaušiniai RIMI (M dydis), 10 vnt.",1.83,0.18,vnt.,True,20,Rimi
kiausiniai,"Ant kraiko laikomų vištų kiaušiniai, 10 vnt.",1.99,0.2,vnt.,False,0,Barbora
kiausiniai,"Kiaušiniai RIDO Omega 3, 10 vnt.",2.65,0.27,vnt.,False,0,Barbora
kiausiniai,"LAIMINGI kiaušiniai RIDO, 10 vnt., 530g",2.65,0.27,vnt.,False,0,Rimi
kiausiniai,"Laisvai laikomų vištų kiaušiniai RIMI,10 vnt.",2.69,0.27,vnt.,False,0,Rimi
