search,title,list_price,unit_price,unit,on_sale,discount,store,percent_change,timestamp
kiausiniai,"Putpelių kiaušiniai WELL DONE, 18 vnt., 18 vnt.",2.35,0.13,vnt.,False,0,Barbora,0,2025-01-12 16:25:30
gouda,"Sūris GERMANTAS GOUDA, 45 % rieb., 200 g",2.29,11.45,kg,True,10,Rimi,0,2025-01-12 16:25:30
oreos,"Dušo kempinė OREON, 1vnt.",0.59,0.59,vnt.,False,0,Rimi,0,2025-01-12 16:25:30
miltai kava lavazza,"Kavos kaps. LAVAZZA ESPRESSO CREMOSO, 128 g",7.89,0.49,vnt.,False,0,Rimi,0,2025-01-12 16:25:30
miltai kava lavazza,"Kavos kaps. LAVAZZA ESPRESSO INTENSO, 128 g",7.89,0.49,vnt.,False,0,Rimi,0,2025-01-12 16:25:30
miltai kava lavazza,"Kavos kapsulės LAVAZZA CAPPUCCINO, 200 g",7.89,0.49,vnt.,False,0,Rimi,0,2025-01-12 16:25:30
